info as per running device on rooted stock rom:

| Name            | Type  | Maj/Min |       Blocks |        Start |          End |    Size (bytes) |       Size | By-Name                              |# Sort Symlink                |
| DM Device          | Name               | Maj/Min   |  Start |            End |         Blocks |       Size (bytes) |         Size |      target=$(readlinkBy-Name                | Backing              |

| /dev/block/dm-0    | odm_a              | 254:0     |      0 |           3911 |           3912 |            2002944 |        1.91M |                                              | sdc75                |
| /dev/block/dm-10   | vendor-verity      | 254:10    |      0 |        1507167 |        1507168 |          771670016 |      735.92M |                                              | dm-6                 |
| /dev/block/dm-11   | product-verity     | 254:11    |      0 |        5197823 |        5197824 |         2661285888 |     2538.00M |                                              | dm-2                 |
| /dev/block/dm-12   | mi_ext-verity      | 254:12    |      0 |        1083703 |        1083704 |          554856448 |      529.15M |                                              | dm-8                 |
| /dev/block/dm-13   | odm-verity         | 254:13    |      0 |           3679 |           3680 |            1884160 |        1.79M |                                              | dm-0                 |
| /dev/block/dm-14   | vendor_dlkm-verity | 254:14    |      0 |          25687 |          25688 |           13152256 |       12.54M |                                              | dm-7                 |
| /dev/block/dm-15   | odm_dlkm-verity    | 254:15    |      0 |              7 |              8 |               4096 |        0.00M |                                              | dm-1                 |
| /dev/block/dm-16   | system_dlkm-verity | 254:16    |      0 |              7 |              8 |               4096 |        0.00M |                                              | dm-4                 |
| /dev/block/dm-1    | odm_dlkm_a         | 254:1     |      0 |            679 |            680 |             348160 |        0.33M |                                              | sdc75                |
| /dev/block/dm-2    | product_a          | 254:2     |      0 |        5297183 |        5297184 |         2712158208 |     2586.51M |                                              | sdc75                |
| /dev/block/dm-30   | com.android.uwb    | 254:30    |      0 |           7479 |           7480 |            3829760 |        3.65M |                                              | loop41               |
| /dev/block/dm-3    | system_a           | 254:3     |      0 |        1670839 |        1670840 |          855470080 |      815.83M |                                              | sdc75                |
| /dev/block/dm-49   | com.android.wifi   | 254:49    |      0 |          16831 |          16832 |            8617984 |        8.21M |                                              | loop40               |
| /dev/block/dm-4    | system_dlkm_a      | 254:4     |      0 |            679 |            680 |             348160 |        0.33M |                                              | sdc75                |
| /dev/block/dm-54   | userdata           | 254:54    |      0 |      102268863 |      102268864 |        52361658368 |    49935.96M |                                              | sdc76                |
| /dev/block/dm-55   | pl_a               | 254:55    |      0 |           8183 |           8184 |            4190208 |        3.99M | /dev/block/by-name/preloader_raw_a           | sda                  |
| /dev/block/dm-56   | pl_b               | 254:56    |      0 |           8183 |           8184 |            4190208 |        3.99M | /dev/block/by-name/preloader_raw_b           | sdb                  |
| /dev/block/dm-5    | system_ext_a       | 254:5     |      0 |        1343839 |        1343840 |          688046080 |      656.17M |                                              | sdc75                |
| /dev/block/dm-6    | vendor_a           | 254:6     |      0 |        1536095 |        1536096 |          786481152 |      750.04M |                                              | sdc75                |
| /dev/block/dm-7    | vendor_dlkm_a      | 254:7     |      0 |          26351 |          26352 |           13492224 |       12.86M |                                              | sdc75                |
| /dev/block/dm-8    | mi_ext_a           | 254:8     |      0 |        1100911 |        1100912 |          563666944 |      537.55M |                                              | sdc75                |
| /dev/block/dm-9    | system-verity      | 254:9     |      0 |        1639391 |        1639392 |          839368704 |      800.48M |                                              | dm-3                 |

